motorcycle,terrain,traffic sign,bicycle,road,traffic light,openness ratio,pole,greenery coverage,fence,building,truck,rider,sidewalk,wall,car,person,bus,enclosure ratio,cycling suitability index,signage density index,junction_location,accident_severity,day_of_week,first_road_class,road_type,speed_limit,junction_detail,junction_control,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,trunk_road_flag,closest_road_length,accidents,all accident counts,accident_rate
0,433188,134,22,335878,0,535636,127,328502,457,21,50,933,152,0,3299,1,0,0.200514526,16001.42857,8.17871E-05,0,3,1,6,6,20,0,-1,0,0,1,1,1,1,0,2,806,5,5,1
0,50129,859,30,598866,109,122380,955,832814,2158,24,0,106,22511,422,5890,1147,0,0.508323975,25890.70833,0.00059082,1,3,5,6,6,30,3,4,6,0,1,1,1,0,0,2,261,11,13,0.846153846
0,495944,1,67,311207,28,720351,431,103181,24,26,0,1248,5221,78,523,70,0,0.062992554,12170.30769,1.77002E-05,0,2,7,6,6,20,0,-1,0,0,1,1,1,0,0,2,733,11,11,1
0,29018,1097,10,610210,153,192367,3350,777639,1,33,0,196,14218,0,7560,2548,0,0.47465332,18922.06061,0.000762939,6,2,6,6,6,30,3,4,6,0,1,1,1,0,0,2,261,11,13,0.846153846
0,431016,0,0,329951,0,542714,333,317454,0,38,0,0,15571,15,918,390,0,0.193781738,9092.684211,0,0,2,5,6,6,20,0,-1,0,0,1,1,1,0,0,2,579,9,9,1
0,246885,48,47,406406,3,235525,868,723647,12666,49,0,327,17,86,11708,118,0,0.441708984,8294.346939,3.11279E-05,0,3,1,6,6,20,0,-1,0,0,1,1,1,0,0,2,830,11,11,1
0,453653,10,0,297440,0,720685,0,165076,0,54,0,5,1355,0,49,73,0,0.100787354,5533.240741,6.10352E-06,0,2,1,6,6,20,0,-1,0,0,6,1,1,0,0,2,918,12,13,0.923076923
0,80271,6690,0,599047,0,486275,5636,417864,41422,92,0,0,784,9,206,104,0,0.255100098,6519.902174,0.004083252,0,2,4,4,6,30,0,-1,-1,0,1,1,1,0,0,2,294,1,2,0.5
0,345974,265,155,332945,1,630990,1630,297127,3229,92,32,553,18167,1479,5060,701,0,0.181408081,3816.434783,0.000162354,2,2,7,6,6,20,3,4,6,0,1,1,1,0,0,2,80,4,4,1
0,439409,158,0,359546,1,424438,2259,401085,275,95,0,0,6576,77,4138,343,0,0.24486084,3853.915789,9.70459E-05,1,3,7,6,6,20,9,4,6,0,1,1,2,4,0,2,1111,16,17,0.941176471
0,511190,173,0,297620,0,427911,1171,390827,0,105,0,0,6233,0,2867,303,0,0.238605957,2893.838095,0.000105591,0,3,7,6,6,20,0,-1,-1,0,1,1,1,0,0,2,1111,16,17,0.941176471
0,253738,255,668,448458,0,630040,2173,273059,2131,107,0,0,6035,3304,14296,4136,0,0.166727295,4247.598131,0.00015564,0,3,7,6,6,20,0,-1,0,0,1,1,2,0,7,2,80,4,4,1
0,328848,69,0,420650,0,413634,5108,463291,440,119,0,0,3422,0,2819,0,0,0.282843018,3563.630252,4.21143E-05,0,2,4,6,6,30,0,-1,0,0,1,2,2,0,6,2,428,1,1,1
0,253733,0,0,291656,0,441471,143,579731,0,142,0,0,69,579,69713,1163,0,0.353926392,2054.401408,0,0,2,1,6,6,20,0,-1,0,0,1,1,2,0,7,2,1017,2,2,1
423,455226,2,7,336850,0,637107,172,195642,31,153,0,414,5291,239,6801,42,0,0.119503784,2236.215686,1.2207E-06,0,3,1,6,6,20,0,-1,-1,0,1,1,1,0,0,2,1111,16,17,0.941176471
15112,33422,2623,0,432086,0,230426,6388,898786,244,161,0,328,3716,122,14962,24,0,0.548673706,2706.84472,0.001600952,9,2,1,6,6,60,6,9,6,0,1,1,2,0,0,2,369,1,10,0.1
0,387667,36,43,371063,0,729362,139,145865,790,197,0,393,1623,1165,0,57,0,0.08914917,1891.807107,2.19727E-05,0,3,2,6,6,20,0,-1,0,8,1,1,1,0,0,2,918,12,13,0.923076923
0,17891,1680,0,422400,0,306139,4953,860213,107,206,0,13,16801,187,7784,26,0,0.525158081,2132.043689,0.001025391,3,3,5,3,1,30,1,4,4,4,1,1,1,0,0,2,169,1,1,1
0,316811,2629,740,444074,0,564143,7077,286904,33,213,0,0,2502,3270,9558,446,0,0.17524231,2096.600939,0.001604614,9,3,5,6,1,20,1,9,6,0,1,1,2,0,0,2,830,11,11,1
215,271178,1508,422,476485,0,575419,2888,269136,4710,235,0,2668,10260,1,17859,5209,207,0.164411011,2071.255319,0.00092041,4,3,2,6,1,20,1,4,6,0,6,2,2,0,0,2,1017,2,2,1
296,58357,1032,0,587560,1199,477276,5725,445327,0,290,2158,120,43349,0,15387,324,0,0.271983032,2175.548276,0.001361694,8,3,5,3,6,30,6,2,4,0,1,1,1,0,0,2,231,1,4,0.25
0,43863,431,0,516492,0,296570,1292,774655,67,318,0,0,1467,162,3006,77,0,0.473005981,1628.801887,0.000263062,0,2,4,3,3,50,0,-1,-1,0,1,1,1,0,0,2,233,1,2,0.5
0,394958,527,3028,338454,0,415297,1425,460359,2073,323,0,7036,10829,0,3971,120,0,0.281177979,1081.371517,0.000321655,2,3,7,6,6,20,1,4,6,8,1,4,1,0,2,2,733,11,11,1
0,454026,64,0,316873,0,504873,39,345264,429,346,0,0,14840,0,1643,3,0,0.210943604,958.7080925,3.90625E-05,0,2,1,6,6,20,0,-1,0,0,1,1,1,0,0,2,220,1,1,1
0,8365,3475,0,457677,45,164280,4577,994008,0,361,0,0,0,0,5275,337,0,0.606914673,1267.803324,0.002148438,0,2,7,6,6,30,0,-1,-1,0,1,2,2,6,0,2,561,3,7,0.428571429
0,350193,1138,117,395314,0,556496,494,314400,6000,375,0,0,6400,18,7181,274,0,0.192123413,1071.237333,0.00069458,0,3,1,6,3,20,0,-1,0,0,1,1,1,0,0,2,539,2,2,1
0,110807,24,0,398355,0,158285,1054,958744,0,413,0,29,8987,168,1534,0,0,0.585422974,986.3002421,1.46484E-05,0,3,2,3,9,20,0,-1,-1,9,1,1,9,9,9,2,1318,3,7,0.428571429
0,353495,298,211,313877,0,626036,1731,304342,2064,441,0,412,27811,2111,5031,540,0,0.18602478,774.8027211,0.000181885,9,3,3,6,6,20,3,4,6,0,1,1,1,0,0,2,80,4,4,1
0,449506,292,0,326233,0,377416,67,470333,12750,447,0,0,1268,0,20,68,0,0.287341309,732.6644295,0.000178223,0,3,2,6,6,20,0,-1,-1,0,1,1,1,0,0,2,1582,8,8,1
0,368050,1210,12,384330,0,348874,3087,517870,4971,460,0,1,8514,341,545,135,0,0.316363525,854.0086957,0.000738525,0,2,3,6,6,20,0,-1,-1,0,1,1,1,0,0,2,579,9,9,1
0,2103,5467,0,388895,0,115,386,1239746,0,561,0,0,0,0,1127,0,0,0.757023315,693.2174688,0.003336792,0,2,1,6,6,40,0,-1,-1,0,1,1,2,7,0,2,284,2,2,1
0,20292,7124,0,543664,0,1703,548,1029314,32502,567,0,0,349,27,2070,240,0,0.628589478,959.4585538,0.004348145,0,3,1,3,6,30,0,-1,0,9,1,2,2,0,0,2,12,1,3,0.333333333
0,489489,0,40,302755,0,575827,506,256993,31,592,0,1215,9936,11,426,579,0,0.157217407,528.1942568,0,0,2,7,6,6,20,0,-1,-1,0,1,1,1,0,0,2,733,11,11,1
0,534518,1206,0,250157,0,699127,215,151405,0,652,0,0,421,102,0,521,76,0.092808228,384.3220859,0.000736084,0,2,7,6,1,20,0,-1,-1,0,1,1,1,0,0,2,285,1,1,1
0,104560,193,0,517268,0,0,1611,944784,202,669,0,72,62378,0,5305,1358,0,0.577058716,866.4364723,0.000117798,1,3,2,6,6,20,8,4,6,0,1,1,1,0,0,2,374,2,2,1
0,24535,2651,0,595159,22,577969,7753,315455,6069,690,302,0,56979,40216,10187,413,0,0.192959595,945.1275362,0.00163147,8,3,1,3,3,40,1,4,3,0,1,1,1,0,0,2,35,1,3,0.333333333
4565,1570,2463,0,603550,0,294398,445,702013,417,691,0,0,3631,3,23947,707,0,0.428896484,878.698987,0.001503296,3,2,4,3,6,30,9,4,3,0,1,1,1,0,0,2,149,2,10,0.2
0,415000,2,0,331284,0,508807,413,368142,0,707,0,0,12421,456,605,563,0,0.225127563,486.145686,1.2207E-06,8,3,7,6,3,20,9,1,6,0,1,1,1,0,0,2,1111,16,17,0.941176471
0,57209,180,0,550195,0,481084,1131,546456,0,719,0,0,423,0,784,137,82,0.333969116,765.8108484,0.000109863,1,3,3,5,6,30,3,4,6,0,1,1,1,0,0,2,178,1,1,1
0,193930,37,0,390266,8,694894,2644,337482,14436,727,381,0,1488,507,1563,32,5,0.206426392,538.8638239,2.74658E-05,9,3,3,3,9,30,8,9,6,0,1,1,1,0,0,2,200,1,2,0.5
0,342488,39,0,398892,0,521330,590,343505,704,799,0,5,19707,247,7964,2130,0,0.210146484,523.9036295,2.38037E-05,1,2,5,6,6,20,3,4,6,0,1,1,2,0,0,2,80,4,4,1
0,193330,141,0,520060,0,531539,4879,376576,0,823,0,0,10702,0,343,7,0,0.230346069,644.9113001,8.60596E-05,0,2,6,3,6,50,0,-1,0,0,1,1,1,0,0,2,913,1,6,0.166666667
0,14799,489,0,580074,0,150277,1109,823790,2922,880,0,0,61024,78,2483,351,124,0.503338623,728.5204545,0.000298462,0,3,7,6,6,20,0,-1,-1,0,1,2,2,0,0,2,256,3,3,1
0,2084,4687,0,399258,0,0,466,1229822,0,959,0,0,0,0,1124,0,0,0.751209106,416.3274244,0.002860718,0,3,1,6,6,60,0,-1,0,0,1,1,1,0,0,2,284,2,2,1
0,478070,131,38,302558,0,684736,1,153957,338,976,0,799,13462,261,641,2432,0,0.094563599,323.7909836,7.99561E-05,0,2,6,6,6,20,0,-1,0,0,1,1,1,0,0,2,733,11,11,1
0,64471,2334,0,588000,0,449537,2888,523503,2865,996,39,8,0,125,3587,47,0,0.320128784,590.3614458,0.001424561,8,3,7,3,1,50,1,4,1,0,1,1,1,0,0,2,19,2,3,0.666666667
0,60605,3771,1,606733,0,441696,4998,511161,1001,997,508,0,875,832,3319,1903,0,0.312596436,609.4363089,0.002301636,3,2,1,3,1,30,1,4,3,0,1,1,1,0,0,2,79,1,2,0.5
0,419026,0,0,330274,0,372370,0,494241,368,1013,0,0,18095,1453,914,646,0,0.302279053,343.8983218,0,0,3,2,6,6,20,0,-1,0,0,6,1,1,0,7,2,1111,16,17,0.941176471
0,223457,462,0,268442,3,460948,4733,675434,12,1025,0,0,1139,0,2629,116,0,0.412877808,263.0058537,0.000283813,9,3,4,4,6,20,99,9,3,1,1,1,1,0,9,2,207,1,3,0.333333333
829,5659,264,45,657050,0,373074,295,510589,843,1040,359,291,351,696,86895,120,0,0.31227356,632.1163462,0.000161133,0,2,5,6,6,20,0,-1,-1,0,1,1,1,0,3,2,404,1,2,0.5
4616,203819,212,3,504654,33,342716,3231,545596,691,1105,0,680,758,575,28963,748,0,0.33367981,457.3864253,0.000149536,0,3,1,6,6,20,0,-1,-1,0,1,1,1,0,0,2,830,11,11,1
4,327018,265,0,340748,0,478300,33,474549,0,1112,43,195,210,0,12178,3745,0,0.290320435,306.6169065,0.000161743,0,3,1,6,6,20,0,-1,-1,0,1,8,1,0,0,2,806,5,5,1
130,374463,498,93,377868,0,509167,70,368119,4261,1199,0,1947,17,0,374,194,0,0.225413818,315.1668057,0.000303955,0,3,1,6,7,20,0,-1,0,0,1,1,2,0,0,2,259,1,1,1
0,169008,0,0,527848,0,337101,3541,582374,0,1238,0,61,9275,4581,3333,40,0,0.356208496,433.8634895,0,0,3,6,5,6,40,0,-1,-1,0,1,1,1,0,0,2,514,1,2,0.5
0,153191,27,0,489864,0,342978,3666,605776,792,1238,0,0,14637,25158,1069,4,0,0.370491943,407.5129241,1.64795E-05,0,1,2,3,3,50,0,-1,-1,0,4,1,1,3,0,2,949,1,3,0.333333333
0,417684,0,236,329634,0,162007,216,702049,10,1259,0,1595,20167,52,1119,2372,0,0.429265137,277.8403495,0,0,2,7,6,6,20,0,-1,0,0,6,2,1,0,7,2,1111,16,17,0.941176471
0,52632,15075,4,645357,0,453730,6278,455820,24,1277,0,0,4311,118,3754,20,0,0.278989868,508.7454973,0.00920105,4,3,3,3,3,60,1,4,3,0,1,1,1,0,0,2,34,1,1,1
0,129186,866,1714,603028,0,682884,1705,189697,2823,1316,681,2000,11981,188,7672,2659,0,0.116585083,467.3320669,0.000528564,8,2,2,6,6,20,6,4,6,0,1,1,1,0,0,2,806,5,5,1
0,30824,700,15,644328,775,542068,5305,342598,37543,1472,0,16,18271,809,13192,484,0,0.210003662,450.1351902,0.000900269,8,3,5,5,6,30,6,2,6,8,1,1,2,0,0,2,268,1,2,0.5
0,23181,1048,922,643470,0,616403,5773,294931,374,1567,727,1013,26121,23,16618,364,5865,0.180968018,427.3075941,0.000639648,3,2,2,6,1,30,2,4,3,0,1,1,1,0,0,2,142,2,2,1
0,160415,1314,0,569781,0,314451,2793,557304,123,1573,13,299,21335,1183,6036,1780,0,0.34111145,375.7889383,0.000802002,1,3,7,3,1,30,1,4,3,0,1,1,1,0,0,2,49,1,2,0.5
0,41800,4679,0,653498,0,618399,12141,273339,22,1602,0,46,12860,64,19828,122,0,0.167810669,415.9538077,0.002855835,3,2,1,4,1,30,2,4,3,9,1,1,1,0,0,2,71,1,2,0.5
0,478291,0,0,306216,0,441076,7,410662,0,1632,0,0,304,212,0,0,0,0.251644287,187.8186275,0,0,3,2,6,6,20,0,-1,-1,0,1,1,1,0,0,2,1582,8,8,1
141,155660,1303,3216,587915,75,226862,6561,637167,759,1633,0,0,13237,2155,1464,252,0,0.389892578,368.1273729,0.000841064,1,2,7,6,6,20,9,4,6,0,1,1,1,0,0,2,280,1,4,0.25
0,14264,3102,10,561719,75,314032,5362,720609,0,1791,0,58,3073,10377,3323,605,0,0.440917969,315.3500838,0.001939087,9,3,7,6,6,30,99,9,6,9,1,1,1,9,9,2,140,1,2,0.5
0,28349,543,25,620545,22,205788,4287,752483,97,1804,0,424,15184,79,6544,2226,0,0.460380249,352.3996674,0.000344849,2,2,2,6,6,20,3,4,6,0,1,1,1,0,0,2,261,11,13,0.846153846
0,51226,6601,80,580438,118,612696,6061,246821,6011,1823,10955,0,52733,3380,57893,533,1031,0.151760254,347.3236423,0.004100952,1,3,3,6,6,30,5,4,3,0,1,8,2,0,0,2,97,1,1,1
381,3558,6823,0,665676,309,391596,4822,508883,7659,1856,4544,0,6620,241,34709,723,0,0.311730347,362.2284483,0.004353027,8,2,1,3,1,30,1,4,3,0,1,1,1,0,0,2,197,1,5,0.2
0,23815,1069,0,504585,0,80923,5558,940123,17810,1885,0,277,47714,12451,1734,456,0,0.574956055,292.996817,0.000652466,9,3,4,3,6,20,3,4,6,0,1,1,1,0,0,2,94,1,1,1
0,24971,53,0,602971,0,256677,7932,720132,0,1951,0,0,21719,440,1330,224,0,0.440724487,320.1896463,3.23486E-05,0,3,5,3,3,40,0,-1,-1,0,1,1,1,0,0,2,269,2,3,0.666666667
0,433089,656,8257,264135,0,578331,642,297644,20469,2000,0,5583,18820,3067,1400,4307,0,0.182888184,141.4775,0.000400391,2,2,4,6,6,20,5,4,6,0,1,1,1,0,0,2,371,5,6,0.833333333
0,484228,215,0,268931,0,468585,493,410730,0,2004,0,0,978,2197,39,0,0,0.251912842,134.6851297,0.000131226,0,3,7,6,6,20,0,-1,0,0,1,1,1,0,0,2,856,3,4,0.75
1,281039,617,12,481080,0,531621,1732,331392,2801,2045,0,23,3696,285,1597,459,0,0.203513794,237.0542787,0.000376587,4,3,2,6,1,20,1,4,6,8,1,7,2,0,0,2,579,9,9,1
0,131891,989,0,617644,0,278147,4123,588648,21,2060,0,0,11799,576,2052,450,0,0.360539551,305.5548544,0.000603638,0,3,4,3,6,30,0,-1,-1,0,1,5,2,0,0,2,210,4,8,0.5
0,125437,891,0,412489,0,560922,14663,509967,0,2089,0,0,9254,164,2342,182,0,0.31253418,201.887506,0.000543823,4,3,4,3,1,30,2,4,6,0,1,1,1,0,0,2,127,1,2,0.5
3,13674,7926,1,558943,0,171552,6470,793127,45442,2127,0,402,24911,0,12016,1806,0,0.485384521,274.4964739,0.004837646,1,2,3,3,6,30,9,4,3,5,1,1,1,0,0,2,52,1,2,0.5
0,30678,2525,12,514748,0,498890,10392,393810,84552,2224,0,0,93797,2137,4397,238,0,0.241719971,273.6263489,0.001541138,1,3,7,3,6,30,9,4,3,0,1,4,1,0,0,2,21,1,2,0.5
0,37088,0,2383,601516,0,255716,1865,616146,28455,2266,0,2554,88224,1200,232,755,0,0.37744873,304.3865843,0,0,2,1,6,3,30,0,-1,-1,0,1,1,1,0,0,2,696,12,22,0.545454545
0,1623,3125,159,510217,0,379307,2687,601257,675,2300,771,419,112873,457,21376,1154,0,0.368381958,270.9086957,0.001907349,9,3,3,6,6,20,2,4,6,1,1,1,1,0,0,2,402,3,3,1
0,36444,1770,0,606909,1,273563,7111,617557,1186,2349,0,0,64080,6160,20761,509,0,0.378360596,285.6487867,0.001080933,8,3,4,5,6,30,1,4,5,0,1,1,2,0,0,2,190,1,5,0.2
75,0,370,0,528714,0,142606,2149,961176,0,2375,0,307,0,0,628,0,0,0.588104858,222.6164211,0.00022583,9,3,6,3,6,30,9,9,6,9,1,8,1,0,0,2,165,1,6,0.166666667
0,218327,2336,627,522966,0,297050,5401,554565,3713,2463,0,201,21570,4665,3397,1119,0,0.33998291,221.0864799,0.001425781,0,3,1,6,6,20,0,-1,-1,0,1,1,1,0,0,2,839,1,1,1
0,11087,1364,0,587830,0,128256,3346,829300,31778,2478,0,0,39706,2752,82,421,0,0.507677002,253.2429379,0.00083252,2,3,5,3,6,30,3,4,6,0,1,1,1,0,0,2,90,1,1,1
0,247858,539,243,524821,0,693228,6186,139671,1796,2536,2789,61,3626,875,10625,2150,1396,0.086796265,208.3781546,0.000328979,3,2,5,6,1,50,1,4,6,0,1,1,1,0,0,2,15,1,1,1
16,42971,1269,0,676996,58,457946,8101,418902,5835,2555,0,0,16655,3737,1818,1541,0,0.257236938,271.4876712,0.000809937,9,3,2,3,6,20,6,9,6,5,1,1,1,3,0,2,115,1,1,1
0,2137,964,0,390032,0,259608,256,974699,0,2661,0,0,40,0,7525,478,0,0.596533203,146.5885006,0.000588379,0,2,1,6,6,30,0,-1,-1,0,1,1,2,0,0,2,561,3,7,0.428571429
0,111052,17,0,405520,0,630094,4579,465241,15277,2669,335,0,1235,172,1906,303,0,0.2855896,152.3997752,1.0376E-05,9,3,3,3,9,30,3,4,6,9,1,1,1,0,0,2,155,1,1,1
0,180171,2640,359,525505,3,452966,7300,442126,2283,2795,0,0,13271,605,6113,2263,0,0.271558228,192.7642218,0.001613159,8,3,1,5,1,60,1,4,3,0,1,1,1,0,0,2,39,1,5,0.2
0,0,0,0,284806,0,2959,0,1345966,0,2929,0,0,0,0,1663,77,0,0.823300171,97.23659952,0,9,3,7,6,6,40,99,9,6,0,1,2,2,0,0,2,561,3,7,0.428571429
2128,536005,469,1662,240371,0,592315,25,238486,2310,2947,0,95,996,13850,704,6037,0,0.147359009,81.90261283,0.000286255,0,3,1,6,6,20,0,-1,-1,0,1,1,1,0,7,2,244,2,2,1
0,423845,3,0,299883,0,393043,226,513510,56,3008,0,22,291,124,4358,31,0,0.315257568,99.7918883,1.83105E-06,0,2,5,6,6,20,0,-1,0,0,1,1,1,0,2,2,830,11,11,1
0,181815,936,757,504723,0,506277,137,425196,3337,3013,0,0,5842,157,6167,43,0,0.261358032,169.4540325,0.000571289,0,3,7,6,6,20,0,-1,0,0,1,2,2,0,0,2,539,2,2,1
0,44,36,17,223374,0,13175,826,1368684,126,3080,0,5802,0,0,0,23236,0,0.837258301,72.52402597,2.19727E-05,1,3,3,6,6,30,3,4,6,0,6,1,1,0,0,2,393,1,1,1
0,19479,1665,0,550819,0,577994,1192,480462,0,3088,11,0,3,353,3304,30,0,0.295135498,178.375,0.001016235,1,3,5,5,6,30,3,4,5,0,1,1,1,0,2,2,77,1,5,0.2
0,397981,276,536,271419,0,635313,2570,253675,16694,3119,0,1059,15783,3098,35606,1271,0,0.156734619,92.08143636,0.000168457,6,3,1,6,6,20,8,4,6,0,1,1,1,0,0,2,371,5,6,0.833333333
0,103327,2259,81,629466,0,649358,8485,194967,460,3168,0,286,43530,593,2208,135,77,0.120932007,212.4356061,0.001378784,9,3,6,3,9,30,1,9,6,5,1,1,2,0,0,2,1148,7,13,0.538461538
0,60607,427,0,387269,0,285019,3300,892653,2187,3204,1055,0,1080,0,679,624,296,0.54678772,121.2075531,0.00026062,8,2,4,1,7,70,1,4,3,0,1,1,2,0,0,1,532,1,7,0.142857143
999,540878,256,2699,243024,0,601515,56,226483,196,3277,0,105,1731,10572,981,5628,0,0.140234375,74.6887397,0.00015625,3,3,6,6,1,20,1,4,6,0,1,1,1,0,0,2,244,2,2,1
0,416685,343,56,357233,0,415832,137,429882,386,3334,0,21,13299,51,1046,95,0,0.264414063,111.1373725,0.000209351,0,3,7,6,6,20,0,-1,0,0,1,1,1,0,0,2,918,12,13,0.923076923
2915,14202,464,0,613584,818,497460,2853,452955,28598,3391,0,2017,9577,2044,7288,234,0,0.278531494,183.7690947,0.000782471,9,3,5,3,6,30,3,2,5,5,4,1,1,0,0,2,593,2,19,0.105263158
0,376426,743,387,337461,0,661189,907,222142,11818,3448,0,167,6828,890,12944,2533,517,0.137689209,99.85179814,0.000453491,0,3,1,6,6,20,0,-1,-1,0,1,1,1,0,0,2,371,5,6,0.833333333
0,5228,2560,2,680422,942,601760,9889,246780,37800,3463,591,37,12402,1351,34138,1035,0,0.152736206,200.0646838,0.002137451,9,3,7,5,6,30,6,2,3,5,1,2,2,9,0,2,64,3,5,0.6
0,42951,888,165,582894,4848,340852,4771,531322,83594,3485,0,668,18217,937,22038,770,0,0.326420288,172.4852224,0.003500977,1,2,7,3,6,30,3,2,4,5,4,1,1,0,0,2,188,2,7,0.285714286
7,23107,2481,0,613136,0,438629,8317,476786,2712,3609,0,149,58868,1104,9105,390,0,0.293209839,186.2022721,0.001514282,8,3,6,3,1,30,1,4,3,0,1,1,1,0,0,2,71,1,6,0.166666667
0,37317,3028,0,532080,0,183621,4444,865812,0,3618,0,0,7996,5,408,71,0,0.530657959,149.2747374,0.001848145,1,3,6,3,6,20,5,4,6,0,1,1,1,0,0,2,471,1,1,1
0,27220,720,0,562286,0,576138,5469,365863,57,3640,0,0,90398,76,2050,4483,0,0.225526733,179.3087912,0.000439453,1,3,6,3,1,40,1,2,3,0,1,1,1,0,0,2,64,1,4,0.25
0,144864,4110,460,543894,0,449185,5141,474532,518,3723,0,10,4530,1127,1682,1139,3485,0.291903687,147.3070105,0.002508545,4,2,3,3,6,30,1,4,3,0,1,1,2,0,0,2,750,3,4,0.75
0,50563,602,0,480631,0,470700,1479,566043,45512,3749,0,0,10220,329,7565,1007,0,0.347773438,130.9285143,0.000367432,0,2,4,6,6,20,0,-1,0,0,1,1,1,0,0,2,402,1,1,1
4,50101,693,0,553696,39,135628,1138,811741,743,3760,0,486,58935,34,19691,1711,0,0.49774231,162.9337766,0.000446777,0,3,1,6,6,20,0,-1,-1,0,1,1,1,0,0,2,261,11,13,0.846153846
0,3676,0,0,184080,0,0,0,1446635,0,3796,0,0,0,213,0,0,0,0.885272827,48.49315068,0,9,3,1,6,6,30,3,9,6,9,1,1,2,0,2,2,253,1,1,1
0,171519,494,0,573886,47,552498,4371,318979,399,3872,0,33,375,2936,8744,247,0,0.197052612,148.3112087,0.0003302,8,3,6,3,1,30,1,4,5,0,1,1,1,0,0,2,39,2,4,0.5
0,125764,500,72,387216,0,299359,3144,568533,114489,3922,250,33,15920,1399,43489,401,73909,0.349398804,102.7883733,0.000305176,0,2,7,3,3,40,0,-1,-1,0,1,1,1,0,0,2,386,1,1,1
